Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
19762307,The Black Hermit (Heinemann African Writers Series),Ngũgĩ wa Thiong'o,"Thiong'o, Ngũgĩ wa",,"=""""","=""""",0,3.39,Heinemann,Paperback,96,1968,1968,,2020/05/01,to-read,to-read (#327),to-read,,,,0,,,0,,,,,
10663143,Call Me Not a Man: And Other Stories (Longman African Writers Series),Mtutuzeli Matshoba,"Matshoba, Mtutuzeli",,"=""0582002427""","=""9780582002425""",0,3.92,Longman Publishing Group,Paperback,208,1998,1995,,2020/05/01,to-read,to-read (#328),to-read,,,,0,,,0,,,,,
19163906,The House of Hunger (Heinemann African Writers Series),Dambudzo Marechera,"Marechera, Dambudzo",,"=""""","=""9780435152123""",0,3.97,Heinemann,Kindle Edition,176,2013,1978,,2020/05/01,to-read,to-read (#326),to-read,,,,0,,,0,,,,,
264605,Men Ghosts (African Writers Series),Kofi Aidoo,"Aidoo, Kofi",,"=""0582228719""","=""9780582228719""",0,4.00,Longman Group United Kingdom,Textbook Binding,240,1995,1995,,2020/05/01,to-read,to-read (#325),to-read,,,,0,,,0,,,,,
590227,Hungry Flames: And Other Black South African Short Stories (Longman African Writers Series),Mbulelo Vizikhungo Mzamane,"Mzamane, Mbulelo Vizikhungo",,"=""0582785901""","=""9780582785908""",0,4.00,Addison Wesley Longman,Paperback,192,1998,1987,,2020/05/01,to-read,to-read (#324),to-read,,,,0,,,0,,,,,
22312059,A Grain of Wheat (African Writers Series),Ngũgĩ wa Thiong'o,"Thiong'o, Ngũgĩ wa",,"=""""","=""""",0,3.83,Heinemann Educational Books,Paperback,280,,1967,,2020/05/01,to-read,to-read (#323),to-read,,,,0,,,0,,,,,
12715334,"Ambiguous Adventure (African Writers Series, 119)",Cheikh Hamidou Kane,"Kane, Cheikh Hamidou",Katherine Woods,"=""""","=""""",0,3.64,,Kindle Edition,,,1961,,2020/05/01,to-read,to-read (#321),to-read,,,,0,,,0,,,,,
19683658,100 Greatest African Kings And Queens ( Volume One ) (Real African Writers Series),Pusch Komiete Commey,"Commey, Pusch Komiete",,"=""""","=""""",0,4.00,BookBaby,Kindle Edition,82,2012,2012,,2020/05/01,to-read,to-read (#322),to-read,,,,0,,,0,,,,,
19626512,The Glory of African Kings and Queens (Real African Writers Series),Pusch Commey,"Commey, Pusch",,"=""""","=""""",0,3.50,BookBaby,Kindle Edition,57,2012,2012,,2020/05/01,to-read,to-read (#320),to-read,,,,0,,,0,,,,,
123760,Niiwam and Taaw (African Writers Series),Ousmane Sembène,"Sembène, Ousmane",Catherine Glenn-Lauga,"=""0435906712""","=""9780435906719""",0,3.96,Heinemann Educational Books,Paperback,110,1992,,,2020/05/01,to-read,to-read (#319),to-read,,,,0,,,0,,,,,
